Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g23770.1	ABI3	ABI3/VP1	8407142	+	-887	n.a.	n.a.	n.a.
At1g23780.1	ABI3	ABI3/VP1	8407142	+	1372	n.a.	n.a.	n.a.
At1g26310.1	ABI3	ABI3/VP1	9105410	+	-1820	n.a.	n.a.	n.a.
At1g26320.1	ABI3	ABI3/VP1	9105410	-	215	n.a.	n.a.	n.a.
At1g26762.1	ABI3	ABI3/VP1	9257135	-	3517	n.a.	n.a.	n.a.
At1g26820.1	ABI3	ABI3/VP1	9292626	-	1145	n.a.	n.a.	n.a.
At1g28080.1	ABI3	ABI3/VP1	9790806	-	993	n.a.	n.a.	n.a.
At1g28080.1	ABI3	ABI3/VP1	9792617	+	2804	n.a.	n.a.	n.a.
At1g28200.1	ABI3	ABI3/VP1	9850008	+	2345	n.a.	n.a.	n.a.
At1g28680.1	ABI3	ABI3/VP1	10080224	+	2049	n.a.	n.a.	n.a.
At1g28685.1	ABI3	ABI3/VP1	10080224	-	-595	n.a.	n.a.	n.a.
At1g29540.1	ABI3	ABI3/VP1	10330000	-	2745	n.a.	n.a.	n.a.
At1g29550.1	ABI3	ABI3/VP1	10330000	-	-500	n.a.	n.a.	n.a.
At1g30080.1	ABI3	ABI3/VP1	10550358	+	2841	n.a.	n.a.	n.a.
At1g30690.1	ABI3	ABI3/VP1	10890903	+	3216	n.a.	n.a.	n.a.
At1g30700.1	ABI3	ABI3/VP1	10890903	+	-1649	n.a.	n.a.	n.a.
At1g31050.1	ABI3	ABI3/VP1	11077063	-	-883	n.a.	n.a.	n.a.
At1g31060.1	ABI3	ABI3/VP1	11077063	-	2158	n.a.	n.a.	n.a.
At1g32049.1	ABI3	ABI3/VP1	11528122	-	414	n.a.	n.a.	n.a.
At1g32050.1	ABI3	ABI3/VP1	11528122	-	-303	n.a.	n.a.	n.a.
At1g32190.1	ABI3	ABI3/VP1	11594953	-	1009	n.a.	n.a.	n.a.
At1g33590.1	ABI3	ABI3/VP1	12180099	-	2342	n.a.	n.a.	n.a.
At1g33600.1	ABI3	ABI3/VP1	12180099	-	-657	n.a.	n.a.	n.a.
At1g33750.1	ABI3	ABI3/VP1	12237672	-	3923	n.a.	n.a.	n.a.
At1g33760.1	ABI3	ABI3/VP1	12237672	-	-186	n.a.	n.a.	n.a.
At1g33820.1	ABI3	ABI3/VP1	12279317	-	114	n.a.	n.a.	n.a.
At1g33830.1	ABI3	ABI3/VP1	12279317	-	2069	n.a.	n.a.	n.a.
At1g33890.1	ABI3	ABI3/VP1	12307964	+	1702	n.a.	n.a.	n.a.
At1g34630.1	ABI3	ABI3/VP1	12686544	+	1366	n.a.	n.a.	n.a.
At1g34640.1	ABI3	ABI3/VP1	12686544	-	1977	n.a.	n.a.	n.a.
At1g34670.1	ABI3	ABI3/VP1	12707542	-	-1564	n.a.	n.a.	n.a.
At1g35333.1	ABI3	ABI3/VP1	12969535	+	-714	n.a.	n.a.	n.a.
At1g35640.1	ABI3	ABI3/VP1	13173114	+	-1416	n.a.	n.a.	n.a.
At1g36050.1	ABI3	ABI3/VP1	13455228	-	3812	n.a.	n.a.	n.a.
At1g36060.1	ABI3	ABI3/VP1	13455228	+	2315	n.a.	n.a.	n.a.
At1g36530.1	ABI3	ABI3/VP1	13787910	+	-1922	n.a.	n.a.	n.a.
At1g36570.1	ABI3	ABI3/VP1	13808852	-	3711	n.a.	n.a.	n.a.
At1g36570.1	ABI3	ABI3/VP1	13808695	+	3554	n.a.	n.a.	n.a.
At1g36933.1	ABI3	ABI3/VP1	13997304	+	134	n.a.	n.a.	n.a.
At1g36936.1	ABI3	ABI3/VP1	13997304	+	2867	n.a.	n.a.	n.a.
At1g37038.1	ABI3	ABI3/VP1	14075277	-	3334	n.a.	n.a.	n.a.
At1g37040.1	ABI3	ABI3/VP1	14075277	-	1448	n.a.	n.a.	n.a.
At1g38710.1	ABI3	ABI3/VP1	14541626	+	3605	n.a.	n.a.	n.a.
At1g39350.1	ABI3	ABI3/VP1	14609258	-	1836	n.a.	n.a.	n.a.
At1g40076.1	ABI3	ABI3/VP1	15428258	-	3630	n.a.	n.a.	n.a.
At1g41775.1	ABI3	ABI3/VP1	15548520	+	-1702	n.a.	n.a.	n.a.
At1g41790.1	ABI3	ABI3/VP1	15548520	-	-1238	n.a.	n.a.	n.a.
At1g41840.1	ABI3	ABI3/VP1	15624199	+	1152	n.a.	n.a.	n.a.
At1g41850.1	ABI3	ABI3/VP1	15627699	-	-1144	n.a.	n.a.	n.a.
At1g43195.1	ABI3	ABI3/VP1	16284942	+	3132	n.a.	n.a.	n.a.
At1g43195.1	ABI3	ABI3/VP1	16285270	+	3460	n.a.	n.a.	n.a.
At1g43200.1	ABI3	ABI3/VP1	16285270	+	698	n.a.	n.a.	n.a.
At1g43200.1	ABI3	ABI3/VP1	16284942	+	370	n.a.	n.a.	n.a.
At1g43205.1	ABI3	ABI3/VP1	16284942	-	3874	n.a.	n.a.	n.a.
At1g43205.1	ABI3	ABI3/VP1	16285270	-	3546	n.a.	n.a.	n.a.
At1g43310.1	ABI3	ABI3/VP1	16350570	+	-1655	n.a.	n.a.	n.a.
At1g43560.1	ABI3	ABI3/VP1	16399435	+	2883	n.a.	n.a.	n.a.
At1g43575.1	ABI3	ABI3/VP1	16407366	-	1819	n.a.	n.a.	n.a.
At1g43720.1	ABI3	ABI3/VP1	16498045	+	525	n.a.	n.a.	n.a.
At1g43722.1	ABI3	ABI3/VP1	16498045	+	-798	n.a.	n.a.	n.a.
At1g44575.1	ABI3	ABI3/VP1	16876374	+	2238	n.a.	n.a.	n.a.
At1g44608.1	ABI3	ABI3/VP1	16876374	-	2324	n.a.	n.a.	n.a.
At1g45246.1	ABI3	ABI3/VP1	17167322	+	2860	n.a.	n.a.	n.a.
At1g45248.2	ABI3	ABI3/VP1	17167322	-	-653	n.a.	n.a.	n.a.
At1g45249.1	ABI3	ABI3/VP1	17167322	-	2984	n.a.	n.a.	n.a.
At1g46264.1	ABI3	ABI3/VP1	17230128	-	2846	n.a.	n.a.	n.a.
At1g46336.1	ABI3	ABI3/VP1	17230128	+	2965	n.a.	n.a.	n.a.
At1g47530.1	ABI3	ABI3/VP1	17457498	-	3378	n.a.	n.a.	n.a.
At1g47540.1	ABI3	ABI3/VP1	17457498	+	1112	n.a.	n.a.	n.a.
At1g47990.1	ABI3	ABI3/VP1	17702930	-	606	n.a.	n.a.	n.a.
At1g48110.1	ABI3	ABI3/VP1	17775295	+	1867	n.a.	n.a.	n.a.
At1g48267.1	ABI3	ABI3/VP1	17830243	+	845	n.a.	n.a.	n.a.
At1g48268.1	ABI3	ABI3/VP1	17830243	-	1249	n.a.	n.a.	n.a.
At1g48410.1	ABI3	ABI3/VP1	17896689	+	-435	n.a.	n.a.	n.a.
At1g48410.1	ABI3	ABI3/VP1	17897763	-	-1509	n.a.	n.a.	n.a.
At1g48580.1	ABI3	ABI3/VP1	17966024	+	-1746	n.a.	n.a.	n.a.
At1g48590.1	ABI3	ABI3/VP1	17966024	-	-224	n.a.	n.a.	n.a.
At1g48720.1	ABI3	ABI3/VP1	18023283	+	1467	n.a.	n.a.	n.a.
At1g48730.1	ABI3	ABI3/VP1	18023283	-	2662	n.a.	n.a.	n.a.
At1g49005.1	ABI3	ABI3/VP1	18133731	-	-1078	n.a.	n.a.	n.a.
At1g49050.1	ABI3	ABI3/VP1	18157505	+	3299	n.a.	n.a.	n.a.
At1g49060.1	ABI3	ABI3/VP1	18160268	-	2555	n.a.	n.a.	n.a.
At1g49060.1	ABI3	ABI3/VP1	18157505	+	-208	n.a.	n.a.	n.a.
At1g49070.1	ABI3	ABI3/VP1	18157505	+	-1314	n.a.	n.a.	n.a.
At1g49070.1	ABI3	ABI3/VP1	18160268	-	1449	n.a.	n.a.	n.a.
At1g49170.1	ABI3	ABI3/VP1	18189647	+	-1536	n.a.	n.a.	n.a.
At1g49180.1	ABI3	ABI3/VP1	18189647	+	1550	n.a.	n.a.	n.a.
At1g49760.1	ABI3	ABI3/VP1	18419668	-	-480	n.a.	n.a.	n.a.
At1g50040.1	ABI3	ABI3/VP1	18549198	+	3400	n.a.	n.a.	n.a.
At1g50050.1	ABI3	ABI3/VP1	18549198	+	-635	n.a.	n.a.	n.a.
At1g50310.1	ABI3	ABI3/VP1	18641427	-	1775	n.a.	n.a.	n.a.
At1g50320.1	ABI3	ABI3/VP1	18641427	+	1777	n.a.	n.a.	n.a.
At1g50325.1	ABI3	ABI3/VP1	18641427	+	2729	n.a.	n.a.	n.a.
At1g50380.1	ABI3	ABI3/VP1	18667805	-	1828	n.a.	n.a.	n.a.
At1g50390.1	ABI3	ABI3/VP1	18667805	+	3540	n.a.	n.a.	n.a.
At1g50650.1	ABI3	ABI3/VP1	18767079	-	886	n.a.	n.a.	n.a.
At1g51175.1	ABI3	ABI3/VP1	18976715	-	-1471	n.a.	n.a.	n.a.
At1g51220.1	ABI3	ABI3/VP1	18996510	+	-693	n.a.	n.a.	n.a.
At1g51320.1	ABI3	ABI3/VP1	19028213	-	-1097	n.a.	n.a.	n.a.
At1g51470.1	ABI3	ABI3/VP1	19094525	+	3444	n.a.	n.a.	n.a.
At1g51480.1	ABI3	ABI3/VP1	19094525	-	3449	n.a.	n.a.	n.a.
At1g51500.1	ABI3	ABI3/VP1	19106571	-	-1823	n.a.	n.a.	n.a.
At1g51510.1	ABI3	ABI3/VP1	19106571	-	1947	n.a.	n.a.	n.a.
At1g52030.1	ABI3	ABI3/VP1	19354213	-	-1456	n.a.	n.a.	n.a.
At1g52040.1	ABI3	ABI3/VP1	19354213	-	2238	n.a.	n.a.	n.a.
At1g52070.1	ABI3	ABI3/VP1	19370752	-	-159	n.a.	n.a.	n.a.
At1g52250.1	ABI3	ABI3/VP1	19463714	+	-459	n.a.	n.a.	n.a.
At1g52260.1	ABI3	ABI3/VP1	19463714	-	-525	n.a.	n.a.	n.a.
At1g52870.1	ABI3	ABI3/VP1	19692671	+	3256	n.a.	n.a.	n.a.
At1g52880.1	ABI3	ABI3/VP1	19692671	-	1539	n.a.	n.a.	n.a.
At1g53390.1	ABI3	ABI3/VP1	19925559	-	3844	n.a.	n.a.	n.a.
At1g53600.1	ABI3	ABI3/VP1	20006665	+	1734	n.a.	n.a.	n.a.
At1g53700.1	ABI3	ABI3/VP1	20050901	-	-1353	n.a.	n.a.	n.a.
At1g53810.1	ABI3	ABI3/VP1	20090646	+	1394	n.a.	n.a.	n.a.
At1g53815.1	ABI3	ABI3/VP1	20090646	-	3984	n.a.	n.a.	n.a.
At1g54930.1	ABI3	ABI3/VP1	20485209	-	-1871	n.a.	n.a.	n.a.
At1g54940.1	ABI3	ABI3/VP1	20485209	+	-148	n.a.	n.a.	n.a.
At1g54970.1	ABI3	ABI3/VP1	20508404	+	-263	n.a.	n.a.	n.a.
At1g54980.1	ABI3	ABI3/VP1	20508404	-	3618	n.a.	n.a.	n.a.
At1g55430.1	ABI3	ABI3/VP1	20701776	-	1512	n.a.	n.a.	n.a.
At1g55430.1	ABI3	ABI3/VP1	20704502	-	-1214	n.a.	n.a.	n.a.
At1g55440.1	ABI3	ABI3/VP1	20704502	-	2624	n.a.	n.a.	n.a.
At1g55690.1	ABI3	ABI3/VP1	20817644	+	-1138	n.a.	n.a.	n.a.
At1g55730.1	ABI3	ABI3/VP1	20839015	+	-830	n.a.	n.a.	n.a.
At1g55740.1	ABI3	ABI3/VP1	20839015	+	3429	n.a.	n.a.	n.a.
At1g56120.1	ABI3	ABI3/VP1	20997650	+	-913	n.a.	n.a.	n.a.
At1g56120.1	ABI3	ABI3/VP1	20997654	-	-917	n.a.	n.a.	n.a.
At1g56170.1	ABI3	ABI3/VP1	21030606	-	2177	n.a.	n.a.	n.a.
At1g56180.1	ABI3	ABI3/VP1	21030606	+	1123	n.a.	n.a.	n.a.
At1g56190.1	ABI3	ABI3/VP1	21030606	-	-1297	n.a.	n.a.	n.a.
At1g56520.1	ABI3	ABI3/VP1	21183127	+	-542	n.a.	n.a.	n.a.
At1g56530.1	ABI3	ABI3/VP1	21183127	-	225	n.a.	n.a.	n.a.
At1g56530.1	ABI3	ABI3/VP1	21185155	+	2253	n.a.	n.a.	n.a.
At1g56540.1	ABI3	ABI3/VP1	21185155	+	-174	n.a.	n.a.	n.a.
At1g59670.1	ABI3	ABI3/VP1	21934214	+	539	n.a.	n.a.	n.a.
At1g59675.1	ABI3	ABI3/VP1	21934214	-	1854	n.a.	n.a.	n.a.
At1g59790.1	ABI3	ABI3/VP1	22005884	+	715	n.a.	n.a.	n.a.
At1g59885.1	ABI3	ABI3/VP1	22049619	-	3646	n.a.	n.a.	n.a.
At1g59890.1	ABI3	ABI3/VP1	22049619	-	2124	n.a.	n.a.	n.a.
At1g59940.1	ABI3	ABI3/VP1	22068805	+	1833	n.a.	n.a.	n.a.
At1g60073.1	ABI3	ABI3/VP1	22155407	-	1806	n.a.	n.a.	n.a.
At1g60075.1	ABI3	ABI3/VP1	22155407	-	826	n.a.	n.a.	n.a.
At1g60080.1	ABI3	ABI3/VP1	22155407	+	2847	n.a.	n.a.	n.a.
At1g61080.1	ABI3	ABI3/VP1	22502543	-	-1859	n.a.	n.a.	n.a.
At1g61090.1	ABI3	ABI3/VP1	22502543	-	1453	n.a.	n.a.	n.a.
At1g61165.1	ABI3	ABI3/VP1	22553147	-	1346	n.a.	n.a.	n.a.
At1g61170.1	ABI3	ABI3/VP1	22553147	-	-156	n.a.	n.a.	n.a.
At1g61180.1	ABI3	ABI3/VP1	22553147	-	-1850	n.a.	n.a.	n.a.
At1g61270.1	ABI3	ABI3/VP1	22602792	+	3013	n.a.	n.a.	n.a.
At1g61510.1	ABI3	ABI3/VP1	22700636	+	403	n.a.	n.a.	n.a.
At1g61620.1	ABI3	ABI3/VP1	22744414	+	3206	n.a.	n.a.	n.a.
At1g61830.1	ABI3	ABI3/VP1	22843476	-	-181	n.a.	n.a.	n.a.
At1g61900.1	ABI3	ABI3/VP1	22885269	+	3449	n.a.	n.a.	n.a.
At1g62290.1	ABI3	ABI3/VP1	23017620	+	-463	n.a.	n.a.	n.a.
At1g62305.1	ABI3	ABI3/VP1	23029314	-	3690	n.a.	n.a.	n.a.
At1g63020.1	ABI3	ABI3/VP1	23368223	-	-1994	n.a.	n.a.	n.a.
At1g63030.1	ABI3	ABI3/VP1	23368223	-	3852	n.a.	n.a.	n.a.
At1g64560.1	ABI3	ABI3/VP1	23976780	-	-612	n.a.	n.a.	n.a.
At1g64561.1	ABI3	ABI3/VP1	23976780	+	1658	n.a.	n.a.	n.a.
At1g65090.1	ABI3	ABI3/VP1	24187914	-	-1048	n.a.	n.a.	n.a.
At1g65120.1	ABI3	ABI3/VP1	24200365	-	-629	n.a.	n.a.	n.a.
At1g65190.1	ABI3	ABI3/VP1	24222372	-	-1381	n.a.	n.a.	n.a.
At1g65890.1	ABI3	ABI3/VP1	24519340	-	-1018	n.a.	n.a.	n.a.
At1g65900.1	ABI3	ABI3/VP1	24519340	-	2810	n.a.	n.a.	n.a.
At1g66145.1	ABI3	ABI3/VP1	24631188	+	1310	n.a.	n.a.	n.a.
At1g66345.1	ABI3	ABI3/VP1	24743620	+	2238	n.a.	n.a.	n.a.
At1g66390.1	ABI3	ABI3/VP1	24771558	-	3938	n.a.	n.a.	n.a.
At1g66400.1	ABI3	ABI3/VP1	24771558	+	3476	n.a.	n.a.	n.a.
At1g66795.1	ABI3	ABI3/VP1	24927547	+	2780	n.a.	n.a.	n.a.
At1g66800.1	ABI3	ABI3/VP1	24927547	+	-929	n.a.	n.a.	n.a.
At1g66860.1	ABI3	ABI3/VP1	24947061	+	1210	n.a.	n.a.	n.a.
At1g66870.1	ABI3	ABI3/VP1	24947061	-	2479	n.a.	n.a.	n.a.
At1g67110.1	ABI3	ABI3/VP1	25067758	-	1351	n.a.	n.a.	n.a.
At1g67460.1	ABI3	ABI3/VP1	25276628	-	-1348	n.a.	n.a.	n.a.
At1g67470.1	ABI3	ABI3/VP1	25276628	+	783	n.a.	n.a.	n.a.
At1g67650.1	ABI3	ABI3/VP1	25364548	+	1510	n.a.	n.a.	n.a.
At1g67670.1	ABI3	ABI3/VP1	25370677	-	1541	n.a.	n.a.	n.a.
At1g67680.1	ABI3	ABI3/VP1	25370677	+	1512	n.a.	n.a.	n.a.
At1g67870.1	ABI3	ABI3/VP1	25453356	+	1319	n.a.	n.a.	n.a.
At1g67870.1	ABI3	ABI3/VP1	25453404	+	1271	n.a.	n.a.	n.a.
At1g67870.1	ABI3	ABI3/VP1	25453548	+	1127	n.a.	n.a.	n.a.
At1g67900.1	ABI3	ABI3/VP1	25470248	+	-439	n.a.	n.a.	n.a.
At1g68170.1	ABI3	ABI3/VP1	25554614	-	-971	n.a.	n.a.	n.a.
At1g68590.1	ABI3	ABI3/VP1	25763492	-	-1597	n.a.	n.a.	n.a.
At1g68600.1	ABI3	ABI3/VP1	25763492	+	-13	n.a.	n.a.	n.a.
At1g68870.1	ABI3	ABI3/VP1	25896628	+	3884	n.a.	n.a.	n.a.
At1g68875.1	ABI3	ABI3/VP1	25896628	+	879	n.a.	n.a.	n.a.
At1g68880.1	ABI3	ABI3/VP1	25896628	-	1950	n.a.	n.a.	n.a.
At1g69160.1	ABI3	ABI3/VP1	26006225	-	2348	n.a.	n.a.	n.a.
At1g69880.1	ABI3	ABI3/VP1	26328753	-	3611	n.a.	n.a.	n.a.
At1g69890.1	ABI3	ABI3/VP1	26328753	+	-474	n.a.	n.a.	n.a.
At1g69900.1	ABI3	ABI3/VP1	26328753	+	2741	n.a.	n.a.	n.a.
At1g70450.1	ABI3	ABI3/VP1	26556636	-	397	n.a.	n.a.	n.a.
At1g70460.1	ABI3	ABI3/VP1	26561206	-	1697	n.a.	n.a.	n.a.
At1g70470.1	ABI3	ABI3/VP1	26561206	+	2580	n.a.	n.a.	n.a.
At1g70480.1	ABI3	ABI3/VP1	26566261	+	774	n.a.	n.a.	n.a.
At1g70490.1	ABI3	ABI3/VP1	26566261	-	3212	n.a.	n.a.	n.a.
At1g71390.1	ABI3	ABI3/VP1	26908401	-	-1714	n.a.	n.a.	n.a.
At1g72060.1	ABI3	ABI3/VP1	27124517	-	2408	n.a.	n.a.	n.a.
At1g72070.1	ABI3	ABI3/VP1	27124517	+	-1147	n.a.	n.a.	n.a.
At1g72070.1	ABI3	ABI3/VP1	27124983	+	-1613	n.a.	n.a.	n.a.
At1g72080.1	ABI3	ABI3/VP1	27124517	+	1906	n.a.	n.a.	n.a.
At1g72080.1	ABI3	ABI3/VP1	27124983	+	1440	n.a.	n.a.	n.a.
At1g72890.1	ABI3	ABI3/VP1	27433121	+	-487	n.a.	n.a.	n.a.
At1g73450.1	ABI3	ABI3/VP1	27619799	-	2282	n.a.	n.a.	n.a.
At1g74610.1	ABI3	ABI3/VP1	28032465	-	844	n.a.	n.a.	n.a.
At1g74620.1	ABI3	ABI3/VP1	28033088	-	1175	n.a.	n.a.	n.a.
At1g74620.1	ABI3	ABI3/VP1	28032465	-	552	n.a.	n.a.	n.a.
